model,rmse,mae,directional_accuracy,method,tau,embed_dim,window_len,optimization_seconds,kde_bandwidth,density_quantile
LSTM,0.010505583274287331,0.00822607908482883,0.4864864864864865,Heuristic params,2,3,60,0.0,,
LSTM,0.012984937824918795,0.01043425606594432,0.547945205479452,Optuna params,1,3,65,400.1162909870036,0.40616955533913807,0.04454674376934912
