model,rmse,mae,directional_accuracy,phase
TDA-LSTM,0.016502205007103424,0.011108726378967397,0.5134843581445523,A_clean_no_filter
Robust Density-Filtered TDA-LSTM,0.01846715953580913,0.013844529657080062,0.5064724919093851,B_clean_density_filter
TDA-LSTM,0.021917017165501804,0.015653385123625733,0.511326860841424,C_noisy_no_filter
Robust Density-Filtered TDA-LSTM,0.03485612716327087,0.023132443230380273,0.4854368932038835,C_noisy_density_filter
