lag_mean_5,lag_std_5,lag_mean_20,density_mean,density_kept_ratio,H0_entropy,H0_amplitude,H0_npoints,H1_entropy,H1_amplitude,H1_npoints,H2_entropy,H2_amplitude,H2_npoints,PI_H1_sum,PI_H1_max,target
0.00524967157095908,0.009403777822610832,0.0036416339142053113,1.1340579089017049e-07,1.0,3.9991333804917213,14.386868476867676,55.0,3.0778405170291894,1.2885446548461914,30.0,1.5302708327031724,0.39313411712646484,7.0,4.915055816192638,0.046415837116827285,-0.0063135889990899585
0.006456679821640066,0.007195548763514071,0.0024024021252182946,1.1340579089017049e-07,1.0,3.9992985685833946,14.389761924743652,55.0,2.968949606043761,1.2600793838500977,26.0,1.0046188090314063,0.39449119567871094,5.0,4.555235152071611,0.04311338322612273,-0.0157763352268816
0.00045301031994000597,0.010122795357486203,0.0018770114010864703,1.1340579089017049e-07,1.0,3.9991121717603866,14.387298583984375,55.0,2.973439416283571,1.2555198669433594,27.0,1.0403314039908451,0.3928346633911133,5.0,4.5482866262257176,0.04301585116032997,0.003404420961462762
0.0001232183713852919,0.009993583268310187,0.0024455166763097226,1.1340579089017049e-07,1.0,3.9996124769908104,14.387533187866211,55.0,3.079664913714665,1.3103313446044922,29.0,1.5952971090638943,0.6136493682861328,8.0,5.098462702788815,0.04961049318513711,0.00805838253213409
0.0003109846738034605,0.010131144175353369,0.004346565143637182,1.1340579089017049e-07,1.0,3.9997741290916484,14.388530731201172,55.0,3.1190239808812286,1.1531705856323242,29.0,1.5953615442722464,0.6142816543579102,8.0,4.934150747735766,0.047523377796088846,-0.012631159074006248
-0.004651655961276191,0.009128400013144633,0.004078009388721782,1.1340579089017049e-07,1.0,4.000475946634764,14.389237403869629,55.0,3.1340925111881868,1.1827611923217773,30.0,1.9561180479720497,0.6129827499389648,12.0,4.5630299495368565,0.041891122688565124,-0.009764433912478054
-0.00534182494395381,0.009355589183293187,0.0023211077869908616,1.1340579089017049e-07,1.0,4.000976497168032,14.387651443481445,55.0,3.1736285884059727,1.1544246673583984,32.0,2.0882109981556285,0.6132116317749023,12.0,4.696936335498491,0.031917192047252005,0.004244365552036555
-0.0013376847881701793,0.008252097869970495,0.002748378560605058,1.1340579089017049e-07,1.0,4.0010018371954335,14.38857650756836,55.0,3.1668306592856306,1.1540403366088867,31.0,1.846181801572841,0.5140113830566406,8.0,4.1072090116276705,0.027407322970245084,-0.002654546675552538
-0.0025494783155732394,0.007904301826250267,0.003267965173489351,1.1340579089017049e-07,1.0,4.001674751156321,14.388671875,55.0,3.2468087515664115,1.1545743942260742,34.0,2.0308739827317046,0.513519287109375,9.0,4.0534585731525326,0.030785487234518454,-0.01702133458469568
-0.007565421738939193,0.007529932360653609,0.0027893321990312358,1.1340579089017049e-07,1.0,4.001675121803323,14.388167381286621,55.0,3.228366256446523,1.154282569885254,33.0,1.9093986171782422,0.5158061981201172,8.0,4.224132028450246,0.0338631905302011,-0.003423300530453588
-0.005723850030228661,0.007183842263668808,0.0015590356863012466,1.1340579089017049e-07,1.0,4.001076494740588,14.389009475708008,55.0,3.167016880001215,1.154733657836914,31.0,1.9097981366052998,0.5151777267456055,8.0,4.097925305082161,0.03363950120071246,0.011112603268902177
-0.0015484425939526147,0.009359568939178177,0.001007819767326712,1.1340579089017049e-07,1.0,4.000247732277676,14.389463424682617,55.0,3.1831947954025352,1.1380815505981445,32.0,1.7961181693179038,0.5152912139892578,7.0,3.678481630339369,0.036853649135137154,-0.012218480383507924
-0.004841011781061511,0.0096342687796319,-0.0002167145052837327,1.1340579089017049e-07,1.0,3.998607187766825,14.389406204223633,55.0,3.1202971267627624,1.1887636184692383,29.0,1.831777617513816,0.3707895278930664,7.0,4.537449840383259,0.0416233953329033,-0.00020488927240691623
-0.004351080300432386,0.009793962554247774,-0.0008066996894984691,1.1340579089017049e-07,1.0,3.9984001389611414,14.389527320861816,55.0,3.1015668128204776,1.188633918762207,29.0,1.963108628213624,0.37949466705322266,8.0,4.453415081854218,0.04101551117028354,0.015930044749387307
0.002239195566384211,0.01013152034222745,1.1540290685996268e-05,1.1340579089017049e-07,1.0,3.99817349744749,14.389397621154785,55.0,3.0674608835583608,1.1596088409423828,28.0,1.7855577677345824,0.38012218475341797,8.0,4.24965511221727,0.050872499203160004,-0.0006186664061829106
0.0028001223912383468,0.009876931109592495,-0.0005814280073268563,1.1340579089017049e-07,1.0,3.997883465075143,14.675682067871094,55.0,3.0778242969102534,1.0679655075073242,28.0,1.9184675432179963,0.3800477981567383,11.0,4.113527177263599,0.04894864101425097,-0.014862855551310616
-0.0023949693728042122,0.010915194913436137,-0.0007071392722676429,1.1340579089017049e-07,1.0,3.99718213007367,14.675528526306152,55.0,2.987400855591641,1.1651172637939453,26.0,1.427825023826398,0.38014984130859375,8.0,3.7544191306515238,0.051674870525860984,-0.02813207637736781
-0.005577688571576189,0.01490608064440342,-0.0028258437052169683,1.1340579089017049e-07,1.0,3.9972003344678186,14.675501823425293,55.0,2.9752782349579676,1.166457176208496,27.0,1.7047522173531358,0.3802461624145508,9.0,3.711472805699835,0.04307133771004596,0.0056817651441125605
-0.004400357688272294,0.015504412188212548,-0.002794424483223157,1.1340579089017049e-07,1.0,3.9970769184165813,14.675814628601074,55.0,2.779669608156401,1.1663551330566406,23.0,1.4943091694485573,0.3795166015625,8.0,3.0439746923362128,0.036009330520526066,-0.028550008928597492
-0.013296368423869253,0.013972253527780209,-0.004577902480655194,1.1340579089017049e-07,1.0,3.997036090335184,14.67573070526123,55.0,2.691488578479558,1.1664819717407227,21.0,1.318620140216761,0.37957286834716797,8.0,2.7621208728549864,0.033144413813930164,0.0020958490249647355
-0.012753465337639724,0.014497184926464764,-0.005082212234476557,1.1340579089017049e-07,1.0,3.996884442019889,14.675827026367188,55.0,2.62296069082993,1.1633319854736328,20.0,1.3644639081272711,0.37935733795166016,8.0,2.5373101825094757,0.030858000569190528,0.024445655340832317
-0.004891763159211138,0.020596772079270274,-0.003544250017480444,1.1340579089017049e-07,1.0,3.9969774292570586,14.085975646972656,55.0,2.5735941206197097,1.1634645462036133,19.0,1.3577481589825573,0.37957191467285156,8.0,2.460363747659925,0.034811278990098136,-0.03695915978469522
-0.0066571798406766195,0.022776116385324056,-0.0046033912453711245,1.1340579089017049e-07,1.0,3.9966040516169548,14.085979461669922,55.0,2.6934674397621783,1.1639881134033203,21.0,1.0382844425687285,0.37952613830566406,7.0,3.0360446280648805,0.033017651180549085,0.005659199293818418
-0.006661693010735448,0.022773673036173087,-0.004490652328753342,1.1340579089017049e-07,1.0,3.9966032628661665,14.08598518371582,55.0,2.6300074016551567,1.1633710861206055,20.0,0.9945244253394804,0.37963199615478516,6.0,2.746293068544802,0.029013613675898494,0.004825465075359858
1.3401790056022378e-05,0.020116027898020177,-0.004652298201592053,1.1340579089017049e-07,1.0,3.997008175211033,14.0858154296875,55.0,2.696152500701389,1.1621112823486328,22.0,0.920138458261816,0.37938404083251953,5.0,2.596438939959057,0.03282837945014268,0.029425221557326964
0.005479276296528468,0.023386374353043072,-0.0025494791700253925,1.1340579089017049e-07,1.0,3.996986164544197,14.086470603942871,55.0,2.572295431900119,1.1633987426757812,20.0,0.6701056063034475,0.37961578369140625,4.0,2.2552783759629254,0.029325338809483664,-0.036300677564099715
-0.006669990284457939,0.026009345032768513,-0.0038762913526064757,1.1340579089017049e-07,1.0,3.996962946420489,14.08659839630127,55.0,2.6325649581136052,1.1640701293945312,21.0,0.661500584441802,0.3797483444213867,4.0,2.789695626004217,0.045044090399275226,-0.005690384413952643
-0.00041623521030942356,0.02130919388986,-0.004373028850905935,1.1340579089017049e-07,1.0,3.9970484677818754,14.086629867553711,55.0,2.487559498187929,1.1642236709594727,19.0,0.6486433104335804,0.37957191467285156,4.0,2.220402532605955,0.0364824312997456,-0.03256151953960362
-0.008060378976993831,0.024391196984759694,-0.0058683774941084895,1.1340579089017049e-07,1.0,3.996564641012422,14.086770057678223,55.0,2.4877278511630916,1.1648321151733398,19.0,0.6380502392883334,0.37970733642578125,4.0,2.2198594733217893,0.03648850747290441,0.002454881760408867
-0.00853449563998403,0.024158039035195353,-0.004894566676853262,1.1340579089017049e-07,1.0,3.9963390061687716,14.086660385131836,55.0,2.412147102663017,1.1647377014160156,17.0,0.6451225746550501,0.37956905364990234,4.0,2.114837181631768,0.036115405829043594,-0.01660023209569772
-0.017739586370588967,0.01495661558113979,-0.005553413255115469,1.1340579089017049e-07,1.0,3.996478076943009,14.086614608764648,55.0,2.4073645644202,1.2057170867919922,17.0,0.7749513547990524,0.2279052734375,4.0,2.1193710785160933,0.03616220747230741,-0.0012968049941122217
-0.010738811856591469,0.01264356344019811,-0.006173883668266189,1.1340579089017049e-07,1.0,3.99608125326743,14.086581230163574,55.0,2.4272098138377176,1.2058277130126953,16.0,0.8101526497319698,0.22733306884765625,4.0,2.24460827787337,0.03502514453748782,0.023589267956868554
-0.004882881382427229,0.018872039199705138,-0.0043834962512473655,1.1340579089017049e-07,1.0,3.9968865998653764,14.086400032043457,55.0,2.3412979053249816,1.2054929733276367,15.0,0.7692072823344822,0.2279043197631836,3.0,2.1460042025749457,0.030936648792393575,-0.003954208517722435
0.0008385808219490088,0.013052578994583761,-0.004570962213513141,1.1340579089017049e-07,1.0,3.997362735957425,14.085907936096191,55.0,2.455674960586853,1.2046403884887695,18.0,0.7464900322569356,0.2262887954711914,3.0,2.2252012809614654,0.02745190970846957,0.019968919581462075
0.00434138838615965,0.015191169936643137,-0.004369018471909403,1.1340579089017049e-07,1.0,3.9972356173345043,14.0845947265625,55.0,2.5002181638062653,1.2074804306030273,19.0,0.7866471708118002,0.2211627960205078,3.0,2.2593664999717364,0.027392813106318168,-0.041233809291247425
-0.0005853270529502907,0.02311295208344712,-0.006399775616162629,1.1340579089017049e-07,1.0,3.9980004383684165,14.0867919921875,55.0,2.504458888529749,1.2067804336547852,19.0,0.7544907665188421,0.22819900512695312,3.0,2.2423043715471884,0.027669626252828403,-0.005850864777348974
-0.0014961390095976413,0.02321255937902178,-0.0059491760774645465,1.1340579089017049e-07,1.0,3.9983511543362034,14.086771011352539,55.0,2.5809716679971073,1.2063865661621094,20.0,0.7303433791286331,0.22803783416748047,3.0,2.476743639349072,0.027772193359228505,0.0001461310919914638
-0.0061847663825730596,0.019786954489376736,-0.0045352657039965825,1.1340579089017049e-07,1.0,3.999416299572527,13.447674751281738,55.0,2.6412835987668153,1.206329345703125,21.0,0.7317918270240664,0.2277841567993164,3.0,2.657486400553133,0.029848199833983992,0.018384995412059624
-0.0017169255966166474,0.02216532264433161,-0.0039001041905992297,1.1340579089017049e-07,1.0,3.999635279234558,13.449481010437012,55.0,2.709294765120845,1.206369400024414,22.0,0.7421457632596621,0.22620391845703125,3.0,2.9110028464257827,0.03031390508887833,-0.008153950903556861
-0.007341499693620435,0.019336431338216244,-0.002880301289347198,1.1340579089017049e-07,1.0,3.999902494556518,13.446588516235352,55.0,2.6883087452879892,1.2067670822143555,22.0,0.27271432453373007,0.1064462661743164,2.0,2.629184813393155,0.03016004680657168,0.009406385648931703
0.002786539294415391,0.009883370167688366,-0.0025147744581488496,1.1340579089017049e-07,1.0,3.9998146731338746,13.445939064025879,55.0,2.7515999941977927,1.2066879272460938,23.0,0.25199224600565057,0.10621166229248047,2.0,2.7932656031359047,0.030625696856581053,0.019688166007719943
0.007894345451429174,0.010667866207696651,-0.002752648924804468,1.1340579089017049e-07,1.0,3.9997832022756112,13.447174072265625,55.0,2.8708161237050143,1.2068920135498047,26.0,-0.0,0.10672473907470703,1.0,3.1323245830575854,0.03810208433771382,0.024441130195821614
0.012753345272195205,0.011530209975998015,0.00031736557422137326,1.1340579089017049e-07,1.0,3.999828247094888,13.448957443237305,55.0,2.8705501173259806,1.2065820693969727,26.0,-0.0,0.10476207733154297,1.0,3.1359807660850945,0.03811953730914428,-0.006294135193666506
0.007817519151049978,0.01322125441674633,-0.00028030115015287294,1.1340579089017049e-07,1.0,3.999915515999635,13.449355125427246,55.0,2.9242481314882327,1.206838607788086,27.0,-0.0,0.10268592834472656,1.0,3.480164505077248,0.04717574697754786,-0.007510905041154814
0.007946128323530388,0.013067500699647254,-0.0008971196559786065,1.1340579089017049e-07,1.0,4.000079433831433,13.44957160949707,55.0,2.975510148118907,1.206894874572754,28.0,-0.0,0.10280513763427734,1.0,3.602906026785194,0.05070307454430292,0.018263225415545037
